Question,Answer
What is the Value Added Tax (VAT) number for DfE?,The Value Added Tax (VAT) number for the Department for Education and its executive agencies  including the Education and Skills Funding Agency  is GB 888 8100 79 
How does VAT received from invoices appear in the Cost Centre's GL report?,"The VAT received is shown in column Y of the GL01 report - it does not impact the total expenditure/income for the CC because it goes to the balance sheet. 

Please contact VAT.TEAM@education.gov.uk if you require more information."
Is there training on Quality Assurance (QA)?,"There are lots of useful resources on the Quality Assurance (QA) Wiki pages that may help you  as will the QA training.  

You can sign up to the waiting list for future training sessions here

"
What is reduced rate Value Added Tax (VAT)?,"There are some goods and services that have a lower rate of Value Added Tax (VAT)  depending on the product and the circumstances of the sale. Examples include domestic fuel and power;	installing energy-saving materials; and children’s car seats. For more help  please contact VAT.TEAM@education.gov.uk."
What is zero rated Value Added Tax (VAT)?,These are some goods and services that are zero-rated  depending on the product and the circumstances of the sale. Examples include food (but not meals in restaurants or hot takeaways); books and newspapers; and public transport. For more help  please contact VAT.TEAM@education.gov.uk.
What is an Accountable Budget Holder?,They are responsible for resources delegated to specific Directorate including NDPBs and ALBs within the Directorate’s policy remit. This is usually a Director General  who is accountable to the Perm Sec. Budget spending authority can be delegated to an agency CEO.
Should Value Added Tax (VAT) be charged on training services?,This is a decision made by suppliers. If Value Added Tax (VAT) is charged  then it is recoverable. Please contact VAT.TEAM@education.gov.uk if you require more information.
What are Goods Received Not Invoiced (GRNI)?,This is an accrual for goods receipted on a Purchase Order  where the invoice has not yet arrived.
What is Budget Cover Transfer?,This is the method of transferring budgets between one department and another. These transfers can happen twice a year (as part of the Main and Supplementary Estimate process).  We transfer budget when we are content for responsibility and decision making powers for the budget/expenditure transfers to the other department Accounting Officer.  This can include a contribution to a programme operated by an other department. It is not appropriate to transfer budget if another dept is providing goods/service.  In these cases DfE retains responsibility and should pay the other department via invoicing arrangements
Who completes the impact on the balance sheet?,"This should initially be attempted by the business area and then discussed with your Finance Business Partner (FBP)  who will be able to review and advise on how it can be approved. 

To find your Finance Business Partner  please use the following link

"
What does proportionality mean in practice for Quality Assurance (QA)?,"This will be a judgement call on how much risk can be associated with the outputs. This should be discussed and agreed between the analyst  analytical assurer and the end user of the outputs (the SRO or whoever has commissioned the work). If you’re still unsure  speak to your Quality Assurance (QA) Champion (Finance) or QA Officer or contact the Model Improvement and Assurance Unit for further advice.  

More information about QA can be found here"
How do I recover Value Added Tax (VAT) from old invoices?,This will need to be escalated to HMRC. Please contact VAT.TEAM@education.gov.uk for more information.
What Quality Assurance (QA) activities are required?,"This will vary according to each piece of analysis and it is important that any quality assurance activities are proportionate.  There are lots of useful resources on the Quality Assurance (QA) Wiki pages that may help you  as will the QA training. 

More information about QA can be found here"
What Quality Assurance (QA) checks are required for a BCM?,"This will vary according to each piece of analysis and it is important that any Quality Assurance (QA) activities are proportionate.  There are lots of useful resources on the QA Wiki pages that may help you  as will the QA training. 

More information about QA can be found here"
Can we recover Value Added Tax (VAT) on secondment costs?,Typically we can not. Please contact VAT.TEAM@education.gov.uk if you require more information.
Can I claim Value Added Tax (VAT) back on a project?,"Value Added Tax (VAT) recovery for DfE is governed by the a list of services  which are known as Tax Directives/TDs. Using this list  you can determine if VAT recovery is permitted. Each TD has a definition  including examples of what is recoverable and what isnt recoverable. Some of the TDs are more detailed than others  and we would recommend you read them carefully before deciding whether or not recovery is possible. Please bear in mind that VAT recovery will be challenged where the justification is unclear. 

To obtain the list of TDs  please contact the VAT Team at VAT.TEAM@education.gov.uk"
Do I need to pay Value Added Tax (VAT)?,"Value Added Tax (VAT) recovery for DfE is governed by the a list of services  which are known as Tax Directives/TDs. Using this list  you can determine if VAT recovery is permitted. Each TD has a definition  including examples of what is recoverable and what isnt recoverable. Some of the TDs are more detailed than others  and we would recommend you read them carefully before deciding whether or not recovery is possible. Please bear in mind that VAT recovery will be challenged where the justification is unclear. 

To obtain the list of TDs  please contact the VAT Team at VAT.TEAM@education.gov.uk"
Does L&D attract Value Added Tax (VAT)?,"Value Added Tax (VAT) recovery for DfE is governed by the a list of services  which are known as Tax Directives/TDs. Using this list  you can determine if VAT recovery is permitted. Each TD has a definition  including examples of what is recoverable and what isnt recoverable. Some of the TDs are more detailed than others  and we would recommend you read them carefully before deciding whether or not recovery is possible. Please bear in mind that VAT recovery will be challenged where the justification is unclear. 

To obtain the list of TDs  please contact the VAT Team at VAT.TEAM@education.gov.uk"
Is service provision vateable?,"Value Added Tax (VAT) recovery for DfE is governed by the a list of services  which are known as Tax Directives/TDs. Using this list  you can determine if VAT recovery is permitted. Each TD has a definition  including examples of what is recoverable and what isnt recoverable. Some of the TDs are more detailed than others  and we would recommend you read them carefully before deciding whether or not recovery is possible. Please bear in mind that VAT recovery will be challenged where the justification is unclear. 

To obtain the list of TDs  please contact the VAT Team at VAT.TEAM@education.gov.uk"
Is Value Added Tax (VAT) recoverable for contingent workers?,"Value Added Tax (VAT) recovery for DfE is governed by the a list of services  which are known as Tax Directives/TDs. Using this list  you can determine if VAT recovery is permitted. Each TD has a definition  including examples of what is recoverable and what isnt recoverable. Some of the TDs are more detailed than others  and we would recommend you read them carefully before deciding whether or not recovery is possible. Please bear in mind that VAT recovery will be challenged where the justification is unclear. 

To obtain the list of TDs  please contact the VAT Team at VAT.TEAM@education.gov.uk"
Is Value Added Tax (VAT) recoverable for IT?,"Value Added Tax (VAT) recovery for DfE is governed by the a list of services  which are known as Tax Directives/TDs. Using this list  you can determine if VAT recovery is permitted. Each TD has a definition  including examples of what is recoverable and what isnt recoverable. Some of the TDs are more detailed than others  and we would recommend you read them carefully before deciding whether or not recovery is possible. Please bear in mind that VAT recovery will be challenged where the justification is unclear. 

To obtain the list of TDs  please contact the VAT Team at VAT.TEAM@education.gov.uk"
Is Value Added Tax (VAT) recoverable for marketing?,"Value Added Tax (VAT) recovery for DfE is governed by the a list of services  which are known as Tax Directives/TDs. Using this list  you can determine if VAT recovery is permitted. Each TD has a definition  including examples of what is recoverable and what isnt recoverable. Some of the TDs are more detailed than others  and we would recommend you read them carefully before deciding whether or not recovery is possible. Please bear in mind that VAT recovery will be challenged where the justification is unclear. 

To obtain the list of TDs  please contact the VAT Team at VAT.TEAM@education.gov.uk"
Is Value Added Tax (VAT) recoverable?,"Value Added Tax (VAT) recovery for DfE is governed by the a list of services  which are known as Tax Directives/TDs. Using this list  you can determine if VAT recovery is permitted. Each TD has a definition  including examples of what is recoverable and what isnt recoverable. Some of the TDs are more detailed than others  and we would recommend you read them carefully before deciding whether or not recovery is possible. Please bear in mind that VAT recovery will be challenged where the justification is unclear. 

To obtain the list of TDs  please contact the VAT Team at VAT.TEAM@education.gov.uk"
Is Value Added Tax (VAT)payable or not?,"Value Added Tax (VAT) recovery for DfE is governed by the a list of services  which are known as Tax Directives/TDs. Using this list  you can determine if VAT recovery is permitted. Each TD has a definition  including examples of what is recoverable and what isnt recoverable. Some of the TDs are more detailed than others  and we would recommend you read them carefully before deciding whether or not recovery is possible. Please bear in mind that VAT recovery will be challenged where the justification is unclear. 

To obtain the list of TDs  please contact the VAT Team at VAT.TEAM@education.gov.uk"
How do I pay an invoice without a purchase order?,We have a No PO No Pay policy in place which means all invoices need to quote a valid Purchase Order number for it to be processed and paid in Business Central. Business Central allows creation of retrospective Purchase Orders. Please refer to PO Requisition document for further guidance.
How do I pay invoices via the non-PO route?,We have a No PO No Pay policy in place which means all invoices need to quote a valid Purchase Order number for it to be processed and paid in Business Central. Business Central allows creation of retrospective Purchase Orders. Please refer to PO Requisition document for further guidance.
Is Value Added Tax (VAT) on helpline services recoverable?,Yes - the Value Added Tax (VAT) is recoverable. TD2 should be used. Please contact VAT.TEAM@education.gov.uk if you require more information.
Is Value Added Tax (VAT) charged on conference facilities?,Yes - this is charged at the standard rate. Please contact VAT.TEAM@education.gov.uk if you require more information.
Do I charge Value Added Tax (VAT) on secondment costs?,Yes - Value Added Tax (VAT) is applicable at the standard rate. Please contact VAT.TEAM@education.gov.uk if you require more information.
Do we need to include Value Added Tax (VAT) on invoices for secondments  and their expenses?,Yes - Value Added Tax (VAT) is applicable on both. For more information please contact VAT.TEAM@education.gov.uk
Is Value Added Tax (VAT) recoverable on Catering Services?,Yes it is. For more information  please contact VAT.TEAM@education.gov.uk.
Can I include the Department for Education (DfE) Value Added Tax (VAT) number when booking training?,Yes that is fine. Please contact VAT.TEAM@education.gov.uk if you require more information.
Is it acceptable for contractors to charge Value Added Tax (VAT) on Expenses they bill Department for Education (DfE) for?,Yes this is appropriate. For more information  please contact VAT.TEAM@education.gov.uk
Are grants outside the scope of Value Added Tax (VAT)?,"Yes  if certain conditions are met.  

For more help  please contact VAT.TEAM@education.gov.uk."
If you are already an approver on SOP will you automatically be set up as an approver in Business Central?,Yes  if you have been an active approver over the last year or have a new role and have been nominated as an approver  you be granted access automatically.
Are marketing services Value Added Tax (VAT) recoverable?,"Yes  the Value Added Tax (VAT) is recoverable. 

Please contact VAT.TEAM@education.gov.uk for more guidance around this."
Are Printing Services Value Added Tax (VAT) recoverable?,"Yes  the Value Added Tax (VAT) is recoverable. 

Please contact VAT.TEAM@education.gov.uk for more guidance around this."
Can I recover Value Added Tax (VAT) on training,"Yes  as a Government Department we are able to recover VAT under Contracted out Service heading CoS 65 

Please contact VAT.TEAM@education.gov.uk for more guidance around this."
Can we recover Value Added Tax (VAT) on recruitment costs?,"Yes  the Value Added Tax (VAT) is recoverable. 

Please contact VAT.TEAM@education.gov.uk for more guidance around this."
Is a web platform for hosting and promoting events Value Added Tax (VAT) recoverable?,"Yes  the Value Added Tax (VAT) is recoverable. 

Please contact VAT.TEAM@education.gov.uk for more guidance around this."
Is Legal Advice Value Added Tax (VAT) recoverable?,"Yes  the Value Added Tax (VAT) is recoverable. 

Please contact VAT.TEAM@education.gov.uk for more guidance around this."
Is research Value Added Tax (VAT) recoverable?,"Yes  the Value Added Tax (VAT) is recoverable. 

Please contact VAT.TEAM@education.gov.uk for more guidance around this."
Is Value Added Tax (VAT) on Accounting Services recoverable?,"Yes  the Value Added Tax (VAT) is recoverable. 

Please contact VAT.TEAM@education.gov.uk for more guidance around this."
Is Value Added Tax (VAT) on advertising costs recoverable?,"Yes  the Value Added Tax (VAT) is recoverable. 

Please contact VAT.TEAM@education.gov.uk for more guidance around this."
Is Value Added Tax (VAT) on consultancy costs recoverable?,"Yes  the Value Added Tax (VAT) is recoverable. 

Please contact VAT.TEAM@education.gov.uk for more guidance around this."
Is Value Added Tax (VAT) on promotional services recoverable,"Yes  the Value Added Tax (VAT) is recoverable. 

Please contact VAT.TEAM@education.gov.uk for more guidance around this."
Is Value Added Tax (VAT) on secretarial services recoverable?,"Yes  the Value Added Tax (VAT) is recoverable. 

Please contact VAT.TEAM@education.gov.uk for more guidance around this."
Is Value Added Tax (VAT) on translation services recoverable?,"Yes  the Value Added Tax (VAT) is recoverable. 

Please contact VAT.TEAM@education.gov.uk for more guidance around this."
Is Value Added Tax (VAT) recoverable for managed services,"Yes  the Value Added Tax (VAT) is recoverable. 

Please contact VAT.TEAM@education.gov.uk for more guidance around this."
Is Value Added Tax (VAT) recoverable on conference costs?,"Yes  the Value Added Tax (VAT) is recoverable. 

Please contact VAT.TEAM@education.gov.uk for more guidance around this."
Is Value Added Tax (VAT) recoverable on Teacher Vacancy Service?,"Yes  the Value Added Tax (VAT) is recoverable. 

Please contact VAT.TEAM@education.gov.uk for more guidance around this."
Should I include VAT on an invoice to recover staff costs from other government department?,Yes. For more information please contact VAT.TEAM@education.gov.uk
Where can I find more information on Quality Assurance (QA)?,More information about Quality Assurance (QA) can be found here 
Where can I find Quality Assurance (QA) guidance?,Quality Assurance (QA) guidance can be found here 
How can I improve my Quality Assurance (QA) log?,"You should always aim to conduct robust Quality Assurance (QA) checks.  However  dont be afraid of having red or amber items in your logs or a low overall score. Capturing the correct score and providing an accurate reflection of what QA activities have taken place in the QA log is important in order to accurately understand the level of risk for your piece of analysis and make sure you are putting the right mitigations in place where necessary.  But  the best way to improve the QA log score is to improve the QA activities that are being carried out.  However  you should be mindful that the QA activities should remain proportional.

More information about QA can be found here"
How can I improve my Quality Assurance (QA) log score?,"You should always aim to conduct robust Quality Assurance (QA) checks.  However  dont be afraid of having red or amber items in your logs or a low overall score. Capturing the correct score and providing an accurate reflection of what QA activities have taken place in the QA log is important in order to accurately understand the level of risk for your piece of analysis and make sure you are putting the right mitigations in place where necessary.  But  the best way to improve the QA log score is to improve the QA activities that are being carried out.  However  you should be mindful that the QA activities should remain proportional.

More information about QA can be found here"
How can I strengthen the Quality Assurance (QA) log score?,"You should always aim to conduct robust Quality Assurance (QA) checks.  However  dont be afraid of having red or amber items in your logs or a low overall score. Capturing the correct score and providing an accurate reflection of what QA activities have taken place in the QA log is important in order to accurately understand the level of risk for your piece of analysis and make sure you are putting the right mitigations in place where necessary.  But  the best way to improve the QA log score is to improve the QA activities that are being carried out.  However  you should be mindful that the QA activities should remain proportional.

More information about QA can be found here"
What is my budget?,"Your Finance Business Partner should be able to help. You can find out who your Finance Business Partner is by reviewing the FBP Directory linked below:

https://educationgovuk.sharepoint.com/sites/how-do-i/SitePages/finance-business-partners.aspx"
What is the difference between zero-rated and exempt Value Added Tax (VAT)?,Zero-rated goods or services are counted as taxable supplies  but Value Added Tax (VAT) is not added to the selling price because the VAT rate is 0 per cent.  Exempt supplies are not taxable supplies therefore no VAT is added to the selling price.  This means that VAT will not normally be reclaimable on any purchases connected to the exempt supply. For more help  please contact VAT.TEAM@education.gov.uk.
How do I receipt a Purchase Order (PO)?,The Finance Den has some great and short videos on how to set up a purchase order and getting it approved. Please visit the following link for more information: 
How do I change approvers on Business Central?,Guidance on Business Central can be found here: https://educationgovuk.sharepoint.com/sites/lvedfe00083/SitePages/Systems%20and%20Access%20Issues.aspx
What are budget moves?,"Your Finance Business Partner should be able to help. You can find out who your Finance Business Partner is by reviewing the FBP Directory linked below:

"
How can I find a requistioner?,The Finance Den has some great and short videos on how to set up a purchase order and getting it approved. Please visit the following link for more information: 
How do I find an old payment on the system?,"You can search on Business Central for transactions after 1 April 2020. For a transaction prior to this you can run a report on SFRS. Please contact FPMA for more details:

"
How do I set up a DFA on Business Central?,Requests for changes to DFA must go via the Service Portal. More information can be found here with regards to delegated authority limits: https://educationgovuk.sharepoint.com/sites/how-do-i/SitePages/financial-governance-delegated-authorities.aspx
Do I still need to complete an AFR if I am a spend manager or manage a budget (but not a formal budget holder)?,Yes  as a spend manager you manage the day-to-day spend of budget line thus should complete the AFR for those budget lines.
How will I know what budget lines I’m completing the AFR for?,Once delegations are confirmed  the Financial Assurance and Controls Team (FACT) will send out individual emails notifying you which budget lines you will be completing an AFR for.
Should I complete a separate AFR for each budget line?,"Unfortunately  at present the technology doesn’t allow for multiple AFR records to be created by one person. If the responses to the questions are different for your budget lines  highlight these differences in the free text boxes. If this is difficult and you’d prefer to complete an AFR for each line  please get in touch with FACT to discuss an alternative method.

ESFAfinancial.CONTROL@education.gov.uk"
What is a budget holder licence?,"It is a licence that all SCS budget holders need to have to demonstrate that they know how to manage their budget lines. The licence is valid for 3 financial years and the training for the licence is carried out by the Financial Assurance & Controls Team (FACT). 

ESFAfinancial.CONTROL@education.gov.uk"
I have programme/capital budget available  does that mean my project can be programme/capital funded?,No  the cost classification of spend must always be driven by the activities  not by the available budget. 
When should capital funding (CDEL) be used?,"The CDEL budget generally covers ‘Financial Transactions’ for loans given and ‘General Capital’ for spending on all other assets or investments. 
Capital grants are scored as Capital for budgets where the receiving body is investing those funds in a capital asset. Capital budget is triggered by capital spend in the Department where spend meets the appropriate accounting standard recognition criteria (this could either be IAS 16 Property  Plant and Equipment or IAS 38 Intangible Assets).  In rare cases  the research phase (normally expensed and treated as admin for budgets) can be treated as capital for budgets but this is rare  but expensed in accounting terms. The spend is subject to 5 criteria which are often difficult to satisfy. For further information  please contact the Cost Classification team."
I think my area of spend may qualify under ESA 10 for capital budgets for Discovery and Alpha costs  what do I do?,Please contact the cost Classification team who will be happy to help you with your query.
How do I access Business Central?,https://educationgovuk.sharepoint.com/sites/lvedfe00083/SitePages/Systems%20and%20Access%20Issues.aspx
How do I find out more about Business Central?,The Finance DEN has all you need to know about Dynamics Business Central - https://educationgovuk.sharepoint.com/sites/lvedfe00083/SitePages/Business%20Central%20Landing%20Page.aspx
How do I suggest a Business Central improvement? ,Systems Access and Issues (sharepoint.com)
How do I join the next Business Central training sessions?,Training dates for Business Central are available on the Finance DEN here https://educationgovuk.sharepoint.com/sites/lvedfe00083/_layouts/15/Events.aspx?ListGuid=c5c502b7-71ae-418f-87bf-dd0d800904ca. Email financial.comms@education.gov.uk to be added to waiting lists for courses or to be sent the invitation
Can you check if the supplier is registered on Business Central?,"We have 2 Jet Reports available in the Finance Den for Internal DfE colleagues use only  under the section Set Up and Maintain Vendor Data  where you can search for vendors and check if they are registered in BC and in which company and their details.  The reports are listed under the heading ‘JET Reports Showing All Vendors within Business Central’.  Each Jet Report is titled with the companies in BC and there is a section under these reports explaining the reports and their purpose.  Please use the link below:

https://educationgovuk.sharepoint.com/sites/lvedfe00083/SitePages/Set-up-and-mainta.aspx"
How can I get a copy of a Remittance Advice from Business Central?,Please watch the short video guide on the Finance DEN https://educationgovuk.sharepoint.com/sites/lvedfe00083/SitePages/Accounts%20Payable.aspx
How do I find out who Purchase Order Approvers are for ESFA? ,You can run a report to find out who has Purchase Order Approval permissions on the ESFA Purchase to Pay page of the Finance DEN here 
How do I find out who Purchase Order Approvers are for Capital?,You can run a report to find out who has Purchase Order Approval permissions on the Purchase to Pay page of the Finance DEN here 
How do I find out who Purchase Order Approvers are for DfE Core? ,You can run a report to find out who has Purchase Order Approval permissions on the DfE Core Purchase to Pay page of the Finance DEN here 
Where can I find a list of Requestors/Requisitioners for DfE Core? ,You can run a report to find out can raise a Purchase Order on the DfE Core Purchase to Pay page of the Finance DEN here 
Where can I find a list of Purchase Order Requisitioners for Capital? ,You can run a report to find out who can raise a Purchase Order on the Purchase to Pay page of the Finance DEN here 
Where can I find a list of Purchase Order Requisitioners for ESFA? ,You can run a report to find out can raise a Purchase Order on the ESFA Purchase to Pay page of the Finance DEN here 
What is a Budget statement?,The statement and supporting documents delivered to the House of Commons each year by the Chancellor of the Exchequer which sets out the state of the nation’s finances and planned changes to taxation.  The departmental budget allocation is published in the Supply Estimates booklet following the Budget Day  and is voted on by Parliament as part of the Finance Bill
What is Value Added Tax (VAT)?,A type of tax that is added to the price of goods or services
What is input Value Added Tax (VAT)?,The Value Added Tax (VAT) added to the price when you purchase goods or services liable to VAT. If the buyer is VAT-registered  the buyer can deduct the amount of VAT paid from their settlement with the tax authorities.  However  grants  grant in aid and the majority of education spend is outside the scope of VAT
What is output Value Added Tax (VAT)?,The Value Added Tax (VAT) a vendor (registered for VAT) charges on their own sales of goods and services both to other businesses and to ordinary consumers
What is a Cat Code?,This code is used to identify the type of item on a Purchase Order.
What is an Account code in Business Central?,An account code is a numeric value used when entering a transaction into Business Central. The account code indicates what areas the transaction affects i.e. revenue  expenditure or transfers
"What is a Purchase Sales request (remove ""purchase"" from term)?",A manual request for Business Central to create a sales invoice to recoup costs from a customer
What is a Purchase receipt?,Purchase receipts are made when the goods or services from a supplier are accepted and checked against the Purchase Order to ensure that the order is completed
What is an Assets Under Construction,"During the development (and subsequent phases) of the build of an asset  all directly attributable costs associated with the construction of an asset are assigned to the Asset under Construction asset category on the balance sheet. Upon completion  those directly attributable costs are assigned to the cost of the asset  the asset ""goes live"" and depreciation (or amortisation for an intangible asset) begins"
What is Accounts Payable?,Money owed by the Department to its suppliers shown as a liability on the balance sheet. Accounts Payable team responsible for processing outgoing payments
Accounts Receivable,Money owed to the Department for goods supplied and/or services rendered that have been completed but not paid for. Accounts receivable is shown on the balance sheet as an asset
What is a balance sheet?,A balance sheet or statement of financial position is a financial statement that summarizes an entity’s assets  liabilities and taxpayers’ equity as a specific point in financial calendar - for DfE this is 31 March
What is a Budget Cover Transfer?,This is the method of transferring budgets between one department and another. These transfers can happen twice a year as part of the Main and Supplementary Estimate process.  We transfer budget when we are content for responsibility and decision making powers for the budget/expenditure transfers to the other dept Accounting Officer.  This can include a contribution to a programme operated by an other dept
What is the Departmental Expenditure Limit?,The government budget that is allocated to and spent by government departments is known as the Departmental Expenditure Limit  or DEL. This amount  and how it is split between government departments  is set at Spending Reviews (HMT Guidance available on GOV.UK). The DEL includes current resource (RDEL) and capital expenditure (CDEL) 
What does 'Goods Received Not Invoiced' mean?,This is an accrual for goods receipted on a Purchase Order  where the invoice has not yet arrived. As part of the month-end process financial responsible officers will be asked to check a report listing the proposed GRNI accrual transactions
What is Total managed expenditure?,The total amount that the government spends. This is split into departmental budgets  i.e. the amounts that government departments have been allocated to spend (known as Departmental Expenditure Limits  or DEL) and money spent in areas outside of budgetary control (all spending not controlled by a government department such as welfare  pensions  debt interest payments)  known as Annually Managed Expenditure  or AME.
What is a Budget?,This term is used in internal and external control of departmental finances to describe available financial resources within the delegated authority of an accountable Budget Holder
What is Financial forecast?,A predicted position at year end for the financial resources within the delegated authority of an accountable Budget Holder. This term is used in internal and external control of departmental finances
What are Budget movements?,Method of registering movement of budgets in SFRS
What is a Budget Holder Spend Report?,This report details budgets  actuals and forecasts at all hierarchy levels for year-to-date and full-year  including variances between budgets and actuals and a RAG rating
What is Forecast underspend?,Expected amount by which the budget holder may potentially spend less than their allocated budget
What is Forecast overspend?,Expected amount by which the budget holder may potentially spend more than their allocated budget
What are Year To Date budgets?,Available budget from the start of the financial year to the current month
What are Year To Date variance to budget?,Difference between budget and actual from the start of the financial year to the current month
What is a Full Year budget?,Amount of money available to the accountable budget holder for the whole financial year
What are Full Year variance to budget?,The difference between full year budget and the full year forecast
What are Future years budget?,Amount of money available to the accountable budget holder for the upcoming financial year/s
What is Future years variance?,The difference between full year budget and the full year forecast for upcoming years
What is Attrition rate?,Budget underspend made over the year to the pay bill associated with the natural churn of staff not being in post for 100% of the expected time
What is Pay forecast?,Expected payments to cover all pay elements of the budget
What is Non-pay forecast?,Expected payments to cover all non-pay elements of the budget
What is a Budget Holder?,A person with delegated authority to spend out of a voted budget
What is a Budget exchange?,A transfer of budgets between financial years  agreed with Treasury
What is a Budget Movement Agreement Impact report?,A report that shows the effect the Budget Movement Agreement will have on the current budget by cost centre and account code
What is a Budget profile?,Shows the monthly budget by cost centre and account code
What is Departmental Unallocated Provision?,Budget  agreed with HMT and therefore within our overall control total  that has not been allocated to individual budget holders in order to be available as contingency  e.g. for policy (not departmental) emergencies.  It can also hold an overallocation of budget either in line with the risk appetite of leadership team or where we are aware of additional funding coming into the department as part of the supplementary estimates process
What is an Admin Pay budget?,Budget used to provide for admin staff salaries and related costs
What is an Admin Non-Pay budget?,Budget used to provide for non-admin costs 
What is a Programme budget?,Budget held for delivery of policy programmes external to the department
What is a Capital budget?,Budget held for capital projects  both within the department and externally
What is a Budget switch?,A process for reclassifying Budget within different types of budget
What is a Value Added Tax (VAT) receipt?,A receipt detailing Value Added Tax (VAT) amount paid
